doc_id,token,lemma,pos
0,produto,produto,NOUN
0,agradando,agradar,VERB
0,americanas,americana,NOUN
0,produto,produto,NOUN
0,pode,poder,VERB
0,bom,bom,ADJ
0,porém,porém,CCONJ
0,americanas,americana,NOUN
0,inspira,inspirar,VERB
0,confiança,confiança,NOUN
0,pela,por o,ADP
0,americanas,americana,NOUN
0,pois,pois,ADV
0,sempre,sempre,ADV
0,empresa,empresa,NOUN
0,séria,sério,ADJ
0,última,último,ADJ
0,compra,compra,NOUN
0,efetuei,efetuei,VERB
0,americanas,americana,NOUN
0,colocou,colocar,VERB
0,aos,a o,ADP
0,cuidados,cuidado,NOUN
0,da,de o,ADP
0,direct,direct,NOUN
0,causaram,causar,VERB
0,problemas,problema,NOUN
0,entregar,entregar,VERB
0,produto,produto,NOUN
0,na,em o,ADP
0,ocasião,ocasião,NOUN
0,celular,celular,NOUN
0,precisei,precisei,VERB
0,acionar,acionar,VERB
0,reclame,reclame,NOUN
0,aqui,aqui,ADV
0,ajudar,ajudar,VERB
0,fácil,fácil,ADJ
0,gostaria,gostar,ADJ
0,comprar,comprar,VERB
0,produto,produto,NOUN
0,kit,kit,X
0,cuecas,cueca,NOUN
0,boxer,boxer,VERB
0,cotton,cotton,NOUN
0,polo,polo,ADJ
0,match,match,VERB
0,porém,porém,CCONJ
0,sei,saber,VERB
0,problemas,problema,NOUN
0,novamente,novamente,ADV
0,complicado,complicar,VERB
1,compra,compra,NOUN
1,susto,susto,NOUN
1,aparelho,aparelho,VERB
1,bom,bom,ADJ
1,confiável,confiável,ADJ
1,valor,valor,NOUN
1,aquisitivo,aquisitivo,ADJ
1,conta,conta,NOUN
1,tudo,tudo,PRON
1,massa,massa,NOUN
1,precisa,precisar,VERB
2,cores,cor,NOUN
2,da,de o,ADP
2,impressão,impressão,NOUN
2,fiéis,fiel,ADJ
2,custo,custo,NOUN
2,benefício,benefício,ADJ
2,vale,valer,VERB
2,pena,pena,NOUN
3,história,história,NOUN
3,boa,bom,ADJ
3,porém,porém,CCONJ
3,autor,autor,NOUN
3,enrolou,enrolar,VERB
3,pouco,pouco,ADV
3,no,em o,ADP
3,meio,meio,NOUN
3,do,de o,ADP
3,livro,livro,NOUN
4,entrega,entregar,VERB
4,rápida,rápidar,ADJ
4,produto,produto,NOUN
4,bom,bom,ADJ
4,amei,amei,VERB
4,praticidade,praticidade,NOUN
5,gostei,gostar,VERB
5,bastante,bastante,ADV
5,do,de o,ADP
5,produto,produto,NOUN
5,recomendo,recomendar,VERB
5,entregá,entregá,NOUN
5,antes,antes,ADV
5,do,de o,ADP
5,prazo,prazo,NOUN
6,produto,produto,NOUN
6,otimo,otimo,ADJ
6,falta,faltar,VERB
6,carregador,carregador,NOUN
6,da,de o,ADP
6,maquina,maquina,NOUN
6,pequena,pequeno,ADJ
7,recomendo,recomendar,VERB
7,aparelhos,aparelho,NOUN
7,da,de o,ADP
7,motorola,motorola,NOUN
7,bons,bom,ADJ
8,proteção,proteção,NOUN
8,anti,antir,VERB
8,queda,queda,NOUN
8,boa,bom,ADJ
8,cair,cair,VERB
8,frente,frente,NOUN
8,tela,tela,NOUN
11,gdssdfhhbcxxxxvbjjnvvvvbbbbbvxfvhbbbnncftg,gdssdfhhbcxxxxvbjjnvvvvbbbbbvxfvhbbbnncftg,NOUN
16,entrega,entregar,VERB
16,demorada,demorado,ADJ
16,caixa,caixa,PROPN
16,veio,vir,VERB
16,toda,todo,DET
16,amassada,amassada,NOUN
17,ameiii,ameiii,VERB
17,produto,produto,NOUN
17,pena,pena,ADJ
17,veio,vir,VERB
17,espelho,espelho,NOUN
17,quebrado,quebrar,VERB
18,bom,bom,ADJ
19,bom,bom,ADJ
19,produto,produto,NOUN
19,nenhum,nenhum,DET
19,amassado,amassado,NOUN
19,coisa,coisa,NOUN
19,do,de o,ADP
19,genero,genero,NOUN
19,único,único,ADJ
19,problema,problema,NOUN
19,entrega,entrega,NOUN
19,enrolada,enrolado,ADJ
19,rapaz,rapaz,NOUN
19,entregou,entregar,VERB
19,perdeu,perder,VERB
19,na,em o,ADP
19,cidade,cidade,NOUN
20,simples,simples,ADJ
20,dia,dia,NOUN
20,dia,dia,NOUN
21,trava,trar,VERB
21,tenho,ter,VERB
21,nada,nada,PRON
21,demora,demora,NOUN
21,carregar,carregar,VERB
22,gostei,gostar,VERB
22,preço,preço,NOUN
22,bem,bem,ADV
22,conta,conta,NOUN
22,recomendo,recomendar,VERB
23,tamanho,tamanho,NOUN
23,do,de o,ADP
23,refrigerador,refrigerador,NOUN
23,embalagem,embalagem,NOUN
23,capacidade,capacidade,NOUN
23,do,de o,ADP
23,freezer,freezer,NOUN
24,quero,querer,VERB
24,saber,saber,VERB
24,chegará,chegar,VERB
24,pois,pois,ADV
24,gostaria,gostar,VERB
24,comprar,comprar,VERB
25,quero,querer,VERB
25,saber,saber,VERB
25,chegará,chegar,VERB
25,reposição,reposição,NOUN
25,pois,pois,SCONJ
25,quero,querer,VERB
25,comprar,comprar,VERB
27,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,ADJ
28,gostei,gostar,VERB
31,médio,médio,ADJ
31,princípio,princípio,NOUN
31,pareceu,parecer,VERB
31,perfeito,perfeito,NOUN
31,capinha,capinha,NOUN
31,plástico,plástico,NOUN
31,ótima,ótima,ADJ
31,película,película,NOUN
31,boa,bom,ADJ
31,tem,ter,VERB
31,bolha,bolha,NOUN
31,constatada,constatar,VERB
31,antes,antes,ADV
31,colocada,colocar,VERB
31,na,em o,ADP
31,loja,loja,NOUN
31,onde,onde,PRON
31,levei,levei,NOUN
31,realizar,realizar,VERB
31,processo,processo,NOUN
31,aplicação,aplicação,NOUN
31,pessoa,pessoa,NOUN
31,habilitada,habilitar,VERB
31,felizmente,felizmente,ADV
31,bolha,bolha,NOUN
31,no,em o,ADP
31,meio,meio,NOUN
31,da,de o,ADP
31,tela,tela,NOUN
31,assim,assim,ADV
31,achei,achar,VERB
31,ideal,ideal,ADJ
31,desejei,desejei,VERB
32,quero,querer,VERB
32,resposta,resposta,NOUN
32,plausível,plausível,ADJ
32,aquece,aquecer,VERB
32,rápido,rápido,ADJ
32,minutos,minuto,NOUN
32,uso,uso,NOUN
32,liga,ligar,VERB
32,somente,somente,ADV
32,no,em o,ADP
32,outro,outro,DET
32,dia,dia,NOUN
32,podemos,poder,VERB
32,fazer,fazer,VERB
33,uitod,uitod,AUX
33,lindas,lindas,VERB
33,leve,leve,VERB
33,maravilhosa,maravilhoso,ADJ
33,lindas,lindo,ADJ
33,confortável,confortável,ADJ
33,leves,leve,NOUN
33,lindas,lindas,VERB
33,amei,amei,VERB
33,super,super,ADJ
33,recomendo,recomendo,NOUN
34,bom,bom,ADJ
34,dia,dia,NOUN
34,mandaram,mandar,VERB
34,produto,produto,NOUN
34,escolhi,escolher,VERB
34,mandaram,mandar,VERB
34,outro,outro,DET
34,completamente,completamente,ADV
34,diferente,diferente,ADJ
34,inclusive,inclusive,ADV
34,devolvi,devolvi,VERB
34,esperando,esperar,VERB
34,loja,loja,NOUN
34,receber,receber,VERB
34,fazer,fazer,VERB
34,estorno,estorno,NOUN
34,do,de o,ADP
34,cartão,cartão,NOUN
34,mandaram,mandar,VERB
34,mercadoria,mercadoria,NOUN
34,completamente,completamente,ADV
34,diferente,diferente,ADJ
34,da,de o,PRON
34,escolhi,escolher,VERB
35,zero,zero,NUM
35,empresa,empresa,NOUN
35,dias,dia,NOUN
35,ainda,ainda,ADV
35,recebi,recebi,VERB
35,produto,produto,NOUN
35,dias,dia,NOUN
35,faturado,faturar,VERB
35,cancelar,cancelar,VERB
35,nao,nao,SCONJ
35,chegar,chegar,VERB
35,ate,ate,ADP
35,amanhã,amanhã,ADV
35,quero,querer,VERB
35,dinheiro,dinheiro,NOUN
35,volta,volta,NOUN
35,da,de o,ADP
35,china,china,NOUN
35,teria,ter,AUX
35,chegado,chegar,VERB
35,antes,antes,ADV
35,diferenca,diferenca,NOUN
35,barato,barato,ADJ
36,mês,mês,NOUN
36,comprei,comprei,VERB
36,agora,agora,ADV
36,nada,nada,PRON
36,péssima,péssimo,ADJ
36,entrega,entregar,VERB
36,atraso,atraso,VERB
36,total,total,ADJ
36,recomendo,recomendar,VERB
36,ninguem,ninguem,VERB
37,chegou,chegar,VERB
37,atraso,atraso,NOUN
37,tamanho,tamanho,NOUN
37,bate,bater,VERB
37,modelo,modelo,NOUN
37,chegou,chegar,VERB
37,ainda,ainda,ADV
37,faltando,faltar,VERB
37,peça,peça,NOUN
38,esposa,esposo,NOUN
38,gostou,gostar,VERB
38,satisfeita,satisfeita,ADJ
38,produto,produto,NOUN
38,bom,bom,ADJ
38,recomendo,recomendo,NOUN
39,melhores,bom,ADJ
39,filme,filme,NOUN
39,bom,bom,ADJ
39,porém,porém,CCONJ
39,virando,virar,VERB
39,moda,moda,NOUN
39,dar,dar,VERB
39,sequências,sequência,NOUN
39,outros,outro,DET
39,atores,ator,NOUN
39,roteiro,roteiro,ADJ
39,nexo,nexo,VERB
39,produtores,produtor,NOUN
39,deveriam,dever,VERB
39,repensar,repensar,VERB
39,estratégias,estratégia,NOUN
40,porta,porta,NOUN
40,ficou,ficar,VERB
40,pegando,pegar,VERB
40,ao,a o,SCONJ
40,fechar,fechar,VERB
40,nao,nao,ADP
40,sei,saber,VERB
40,motivo,motivo,NOUN
40,da,de o,ADP
40,montagem,montagem,NOUN
40,bom,bom,ADJ
40,espaçoso,espaçoso,ADJ
41,aparelho,aparelho,VERB
41,bom,bom,ADJ
41,entrega,entregar,VERB
41,antes,antes,ADV
41,do,de o,ADP
41,prazo,prazo,NOUN
41,gostei,gostar,VERB
42,comprei,comprei,VERB
42,banquetas,banqueta,NOUN
42,pelo,por o,ADP
42,site,site,NOUN
42,da,de o,ADP
42,loja,loja,NOUN
42,achei,achar,VERB
42,excelente,excelente,ADV
42,todo,todo,DET
42,procedimento,procedimento,NOUN
42,desde,desde,ADP
42,compra,compra,NOUN
42,entrega,entrega,NOUN
42,das,de o,ADP
42,etapas,etapa,NOUN
42,informadas,informar,VERB
42,chegou,chegar,VERB
42,bem,bem,ADV
42,rápido,rápido,ADV
42,gostei,gostar,VERB
43,gostei,gostar,VERB
43,super,super,ADJ
43,recomendo,recomendo,NOUN
43,chegou,chegar,VERB
43,antes,antes,ADV
43,do,de o,ADP
43,prazo,prazo,NOUN
43,amei,ameir,VERB
44,gostei,gostar,VERB
44,agora,agora,ADV
44,bom,bom,ADJ
44,dizer,dizer,VERB
44,acordo,acordo,NOUN
44,uso,uso,NOUN
44,parece,parecer,VERB
44,boa,bom,ADJ
44,qualidade,qualidade,NOUN
45,boa,bom,ADJ
45,super,super,NOUN
45,recomendado,recomendar,VERB
45,entrega,entrega,NOUN
45,super,super,VERB
45,rápido,rápido,ADJ
46,bom,bom,ADJ
46,recomendo,recomendo,NOUN
46,superou,superar,VERB
46,expectativas,expectativa,NOUN
46,produto,produto,NOUN
46,chegou,chegar,VERB
46,bem,bem,ADV
46,antes,antes,ADV
46,da,de o,ADP
